0	the lewis ginter botanical garden , , is a botanical garden located at 1800 lakeside avenue , on the north side of richmond , virginia	relaxing was a bay thoroughbred born in 1976 at the ogden phipps stud farm in kentucky	year long disaster was an american hard rock band from los angeles , california	after completing a drug rehabilitation program together , the pair met brad hargreaves in november 2004 , and after an informal jam session formed year long disaster later	their name comes from a sleevenote on bob dylan 's 1976 album " desire " which reads " i have a brother or two and a whole lot of karma to burn	it is the administrative seat of the adana province and has a population of 1	in the global north , it often takes the form of a social movement for sustainable communities , where organic growers , foodies , and locavores form social networks founded on a shared ethos of nature and community holism	the gently rolling terrain that is the site of lewis ginter botanical garden was once the hunting ground of powhatan indians	as a youngster , relaxing was sent to england to race	the city is situated on the seyhan river , inland from the mediterranean , in south central anatolia
986	after they disbanded in 1971 , he recorded his first solo album , " can i have my money back ? "	the scene then suddenly moves to kim in bed , under a duvet with her eyes closed , and the sound of whirring	on the wedding day the groom and groomsmen ( ) get ready at the groom 's house early in the morning and proceed to the bride 's parents house to begin the wedding ceremonies	mordecai is more conscientious , mature , and moral about his actions than rigby is , which sometimes leads to his opposing rigby when he is the cause of some kind of chaotic problem	usually , people who are night owls stay awake past midnight and extreme night owls may stay awake until just before or after dawn	the opposite of a night owl is an early bird , a lark as opposed to owl , someone who tends to begin sleeping at a time that is considered early and also wakes early	" he dotes on his wife claire and constantly tries to find ways to bond with his three kids	a night owl , evening person or simply owl , is a person who tends to stay up until late at night	the barn owl ( " tyto alba " ) is the most widely distributed species of owl and one of the most widespread of all birds	family patriarch gaston dominici was convicted of the three murders in 1957 and sentenced to death , though it was widely believed that his guilt had not been clearly established
987	the word " authority " in " authority control " derives from the idea that the names of people , places , things , and concepts are " authorized , " i	narcolepsy is a long term neurological disorder that involves a decreased ability to regulate sleep wake cycles	people with narcolepsy tend to sleep about the same number of hours per day as people without , but the quality of sleep tends to be worse	the story starts with an illustration that it is a story about love near allahabad	nandhini is an indian multilingual supernatural television drama that premiered on 23 january 2017 on sun tv , gemini tv , surya tv and udaya tv channels	symptoms include periods of excessive daytime sleepiness that usually last from seconds to minutes and may occur at any time	the name and title authority file of catalonia ( cantic ) is an authority union catalogue within the union catalogue of universities of catalonia ( ccuc ) , that it is led by the biblioteca de catalunya	in library science , authority control is a process that organizes bibliographic information , for example in library catalogs by using a single , distinct spelling of a name ( heading ) or a numeric identifier for each topic	the k rockathon began in 1996 when modern rock formatted radio stations wkrl fm in syracuse , wkrh in minetto and wkll in frankfort felt they needed to throw a party for all of their listeners , where rock music fans in central new york could listen to some of their favorite bands	the group 's music has been described as new wave , pop and worldbeat , characterized by an " african derived drum sound "
988	in several countries , especially in scandinavia , early birds are called " a people " and night owls are called " b people "	usually , people who are night owls stay awake past midnight and extreme night owls may stay awake until just before or after dawn	the opposite of a night owl is an early bird , a lark as opposed to owl , someone who tends to begin sleeping at a time that is considered early and also wakes early	the present scientific consensus is that birds are a group of theropod dinosaurs that originated during the mesozoic era	it is also called the european eagle owl and in europe , it is occasionally abbreviated to just eagle owl	due to snow white 's possession of a lycanthropy stained knife , he is now a werewolf and can change between wolf form , human form and an intermediate " wolfman " stage at will ( in " the great fables crossover " , it is revealed that bigby 's nature as one of the north wind 's sons allows him to change forms at will )	the scientific question of within which larger group of animals birds evolved , has traditionally been called the origin of birds	verreaux 's eagle owl is mainly grey in color and is at once distinguished from other large owls by its bright pink eyelids , a feature shared with no other owl species in the world	its primary diet is rabbits and hares , rats and mice and voles , although it freely hunts any animal it can overtake , including rodents and other small mammals , larger mid sized mammals , birds , reptiles , amphibians , and invertebrates	that year , janice took domenica to satriale 's pork store to demand that tony make bobby a capo
989	delayed sleep phase disorder ( dspd ) , more often known as delayed sleep phase syndrome and also as delayed sleep wake phase disorder , is a chronic dysregulation of a person 's circadian rhythm ( biological clock ) , compared to the general population and relative to societal norms	a night owl , evening person or simply owl , is a person who tends to stay up until late at night	the opposite of a night owl is an early bird , a lark as opposed to owl , someone who tends to begin sleeping at a time that is considered early and also wakes early	light therapy which strikes the retina of the eyes is used to treat diabetic retinopathy and also circadian rhythm disorders such as delayed sleep phase disorder and can also be used to treat seasonal affective disorder , with some support for its use also with non seasonal psychiatric disorders	people with a circadian rhythm that is quite near to 24 hours may be able to sleep on a conventional , socially acceptable schedule , that is , at night	insomnia , also known as sleeplessness , is a sleep disorder where people have trouble sleeping	non 24 hour sleep wake disorder ( non 24 ) , is one of several chronic circadian rhythm sleep disorders ( crsds )	circadian rhythm sleep disorder involves an alteration of an individual 's circadian system or a mismatch between a person 's natural , or endogenous , circadian system and the external , or exogenous , demands placed on it	these activities occur to such a degree that the person 's daily life is negatively affected	alois wiegand , the wealthy mayor of schabbach , shares paul 's enthusiasm for technology , having purchased a motorcycle , the village 's first motor vehicle
991	veganism is both the practice of abstaining from the use of animal products , particularly in diet , and an associated philosophy that rejects the commodity status of animals	veganism is both the practice of abstaining from the use of animal products , particularly in diet , and an associated philosophy that rejects the commodity status of animals	the commodity status of animals refers to the legal status as property of most non human animals , particularly farmed animals , working animals and animals in sport , and their use as objects of trade	vegetarianism is the practice of abstaining from the consumption of meat ( red meat , poultry , seafood , and the flesh of any other animal ) , and may also include abstention from by products of animal slaughter	vegetarianism is the practice of abstaining from the consumption of meat ( red meat , poultry , seafood , and the flesh of any other animal ) , and may also include abstention from by products of animal slaughter	" dietary vegans " ( or strict vegetarians ) refrain from consuming animal products , not only meat but also eggs , dairy products and other animal derived substances	" dietary vegans " ( or strict vegetarians ) refrain from consuming animal products , not only meat but also eggs , dairy products and other animal derived substances	vegetarianism is the theory and practice of voluntary non consumption of the flesh of any animal ( including sea animals ) , with or without also eschewing other animal derivatives ( such as dairy products or eggs )	animals regarded as commodities may be bought , sold , given away , bequeathed , killed , and used as commodity producers : producers of meat , eggs , milk , fur , wool , skin and offspring , among other things	vegetarian ecofeminism aims to include the domination of not only the environment but also of nonhuman animals to the list
992	vegetarianism is strongly linked with a number of religions that originated in ancient india ( jainism , hinduism and buddhism )	vegetarianism is strongly linked with a number of religions that originated in ancient india ( jainism , hinduism and buddhism )	the earliest records of vegetarianism as a concept and practice amongst a significant number of people concern ancient india and the ancient greek civilizations in southern italy and greece	the earliest records of vegetarianism as a concept and practice amongst a significant number of people concern ancient india and the ancient greek civilizations in southern italy and greece	vegetarianism has its roots in the civilizations of ancient india and ancient greece	vegetarianism has its roots in the civilizations of ancient india and ancient greece	cattle slaughter is a controversial topic in india because of the cattle 's traditional status as an endeared and respected living being to many in hinduism , sikhism , jainism and buddhism , in contrast to cattle being considered as an acceptable source of meat by many in islam , christianity as well as some adherents of indian religions	religions in ancient egypt , ancient greece , ancient israel , ancient rome , and ancient germany held similar beliefs	some countries have strong cultural or religious traditions that promote vegetarianism , such as in india , while in other countries secular ethical concerns dominate , including animal rights and environmental protection , along with health concerns	in the early 20th century , reform minded officials and intellectuals attacked all religions as " superstitious " , and since 1949 , china has been governed by the communist party of china , an atheist institution that prohibits party members from practising religion while in office
993	cattle slaughter is a controversial topic in india because of the cattle 's traditional status as an endeared and respected living being to many in hinduism , sikhism , jainism and buddhism , in contrast to cattle being considered as an acceptable source of meat by many in islam , christianity as well as some adherents of indian religions	in jainism , vegetarianism is mandatory for everyone in hinduism and mahayana buddhism , it is advocated by some influential scriptures and religious authorities	vegetarianism is strongly linked with a number of religions that originated in ancient india ( jainism , hinduism and buddhism )	jains trace their history through a succession of twenty four victorious saviors and teachers known as tirthankaras , with the first being rishabhanatha , who is believed to have lived millions of years ago , and twenty fourth being the mahavira around 500 bce	history of jainism concerns a religion founded in ancient india	more specifically , the cow 's slaughter has been shunned because of a number of reasons such as being associated with god krishna in hinduism , cattle being respected as an integral part of rural livelihoods and an essential economic necessity	jainism ( ) , traditionally known as jain dharma , is an ancient indian religion	jains believe that jainism is an eternal " dharma " with the tirthankaras guiding every cycle of the jain cosmology	hinduism is an indian dharma , or a way of life , widely practiced in south asia	such ethical motivations have been codified under various religious beliefs , as well as animal rights advocacy
994	a field goal scores three points for the shooting team if the player shoots from behind the three point line , and two points if shot from in front of the line	lisa deshaun leslie ( born july 7 , 1972 ) is a former american professional basketball player who played in the women 's national basketball association ( wnba )	the texas longhorns men 's basketball team represents the university of texas at austin in ncaa division i intercollegiate men 's basketball competition	howard formerly played for the heat from 2010 until 2013	juwan antonio howard ( born february 7 , 1973 ) is an american retired professional basketball player who currently serves as an assistant coach for the miami heat of the national basketball association ( nba )	the longhorns rank 17th in total victories among all ncaa division i college basketball programs and 25th in all time win percentage among programs with at least 50 years in division i , with an all time win loss record of 1759 1057 ( )	no man 's sky is an action adventure survival video game developed and published by the indie studio hello games for playstation 4 and microsoft windows	the sport of basketball in greece erupted with the senior men 's greek national basketball team 's win at the fiba eurobasket 1987 in piraeus , which caused a general basketball euphoria in the country	at michigan he was part of the fab five recruiting class of 1991 that reached the finals of the ncaa division i men 's basketball championship in 1992 and 1993	a team can score a field goal by shooting the ball through the basket being defended by the opposition team during regular play
995	the midwest division was a division in the western conference of the national basketball association ( nba )	the team plays in the southwest division of the western conference in the national basketball association ( nba )	the spurs compete in the national basketball association ( nba ) as a member of the league 's western conference southwest division	the rivalry began in the 1990s when the rockets , led by dominant center hakeem olajuwon , and the jazz , led by the pick and roll duo of karl malone and john stockton , were playoff powers in the midwest division	the jazz compete in the national basketball association ( nba ) as a member club of the league 's western conference northwest division	the mavericks compete in the national basketball association ( nba ) as a member club of the league 's western conference southwest division	the jazz were one of the least successful teams in the league in their early years	the magic compete in the national basketball association ( nba ) as a member club of the league 's eastern conference southeast division	the league realigned itself into two conferences , the western conference and the eastern conference , with two divisions each in each conference	the midwest division began with four inaugural members , the chicago bulls , the detroit pistons , the milwaukee bucks and the phoenix suns
996	the team was established in 1995 , along with the vancouver grizzlies , as part of the nba 's expansion into canada	the original hornets franchise was established in 1988 as an expansion team , owned by george shinn	the franchise was established in 1989 as an expansion franchise , and such notable nba stars as shaquille o'neal , penny hardaway , patrick ewing , grant hill , tracy mcgrady , steve francis , dwight howard , vince carter , rashard lewis , and hedo t rko lu have played for the club throughout its young history	the national basketball association ( nba ) is a men 's professional basketball league in north america composed of 30 teams ( 29 in the united states and 1 in canada )	as part of the merger agreement , the nba agreed to accept four of the remaining six aba teams : the denver nuggets , indiana pacers , new york nets and san antonio spurs	they originally played their home games at skydome , before moving eastward along bremner boulevard to the air canada centre in 1999	, the franchise has played in the nba playoffs for exactly half of its existence ( 14 playoff appearances in 28 years ) , and twice went to the nba finals , in 1995 and 2009	the nba is one of the four major professional sports leagues in the united states and canada	the hornets compete in the national basketball association ( nba ) , as a member of the league 's eastern conference southeast division	the mavericks compete in the national basketball association ( nba ) as a member club of the league 's western conference southwest division
997	they describe the technology that dominated the period of time in question but are also representative of a large number of other technologies introduced during the same period	chad reimer says , " in many aspects , it still has not been surpassed "	as their numbers grew anti " hindu " sentiment increased among the whites living in the province and they were prevented from voting beginning in 1908	as of 2014 , there are 250,000 ethnic indo canadians in greater vancouver , british columbia , canada	vancouver ( , ) is a coastal seaport city in canada , located in the lower mainland region of british columbia	the first indo canadians in british columbia were mostly persons who originated from hoshiarpur and jullundur , two communities in the punjab region of the british raj , in modern day india , followed by large waves of people from the malwa , punjab	some 30 40 men were employed as shipwrights at nootka sound in what is now british columbia , to build the first european type vessel in the pacific northwest , named the " north west america "	the history of chinese canadians in british columbia began with the first recorded visit by chinese people to north america in 1788	originally politically constituted as a pair of british colonies , british columbia joined the canadian confederation on july 20 , 1871	in " british columbia : a history " ( 1958 ) she presented a structural model that has been adopted by numerous historians and teachers
998	they play their home games at the american airlines arena in downtown miami	the members of radiohead self produced the album with nigel godrich , an arrangement they have used for their subsequent albums	according to a 2016 " forbes " magazine report , they are the ninth most valuable basketball franchise in the nba , valued at approximately 1	it fulfills a similar role as an adverb ( " wow , you did ok for your first time skiing ! " )	the band 's video for " here it goes again " won a grammy award for best music video in 2007	harrison wrote the song in 1966 , but it was rejected for inclusion on releases by the beatles	nowitzki has led the mavericks to 15 nba playoffs ( 2001 2012 2014 2016 ) , including the franchise 's first finals appearance in 2006 and only championship in 2011	in 1963 , they relocated to baltimore , maryland and became the baltimore bullets , taking the name from previous team of the same name	they chose to play at one o'clock in the morning because it was cheaper to use the rehearsal space during such hours	as an adjective , " ok " principally means " adequate " or " acceptable " as a contrast to " bad " ( " the boss approved this , so it is ok to send out " ) it can also mean " mediocre " when used in contrast with " good " ( " the french fries were great , but the burger was just ok " )
999	usher raymond iv ( born october 14 , 1978 ) , is an american singer , songwriter , dancer and actor	in the 2010s , while women comprise a significant proportion of popular music and classical music singers , and a significant proportion of songwriters ( many of them being singer songwriters ) , there are few women record producers , rock critics and rock instrumentalists	madonna currently holds the record for the most number one songs in the 41 year history of the chart , with 46 and is the artist with the most number ones of any " billboard " chart	selena quintanilla p rez ( april 16 , 1971 march 31 , 1995 ) was an american singer who achieved international fame as a member of selena y los dinos and for her subsequent solo career in both spanish and english her father and manager , abraham quintanilla jr	this is a list of artists with the most number ones on the u	disco is a musical style originating in the early 1970s	were club goers , both male and female , from the african american , italian american , latino , and psychedelic communities in philadelphia , chicago , san francisco , and new york city during the late 1960s and early 1970s	at the age of 12 , his mother put him in local singing competitions , before catching the attention of a music a r from laface records	in january 1994 , sald var was promoted to manager of the singer 's boutiques	these secondary cast members appear in green screen confessional segments and ( for the most part ) have the same amount of screen time and storyline focus as the show 's main cast members
1000	casualty , stylised as casualy , is a british medical drama series that airs weekly on bbc one ( sometimes with a short break in the summer between series , but not always )	although further crossovers of storylines and characters have since occurred , they have not been broadcast under the " casualty holby city " title	" casualty " is a british medical drama television series that premiered on 6 september 1986 on bbc one	" casualty " is a british medical drama television series that premiered on 6 september 1986 on bbc one	the series was controversial owing to its cynical depiction of doctors , nurses , and the national health service , although it has often topped polls of the uk medical profession as the most realistic medical drama of all time	" holby city " is a british medical drama television series that premiered on 12 january 1999 on bbc one	holby city ( styled as holby ciy ) is a british medical drama television series that airs weekly on bbc one	cardiac arrest is a british medical drama series made by world productions for bbc 1 and first broadcast between 1994 and 1996	the series was created by tony mchale and mal young as a spin off from the established bbc medical drama " casualty "	the first series of the british medical drama television series " holby city " commenced airing in the united kingdom on bbc one on 12 january 1999 , and concluded on 9 march 1999
1001	casualty , stylised as casualy , is a british medical drama series that airs weekly on bbc one ( sometimes with a short break in the summer between series , but not always )	the twelfth series of the british medical drama television series " holby city " commenced airing in the united kingdom on bbc one on 20 october 2009	holby city ( styled as holby ciy ) is a british medical drama television series that airs weekly on bbc one	" holby city " is a british medical drama television series that premiered on 12 january 1999 on bbc one	the first series of the british medical drama television series " holby city " commenced airing in the united kingdom on bbc one on 12 january 1999 , and concluded on 9 march 1999	casualty holby city is a series of special crossover episodes of bbc medical dramas " casualty " and " holby city "	" casualty " is a british medical drama television series that premiered on 6 september 1986 on bbc one	although further crossovers of storylines and characters have since occurred , they have not been broadcast under the " casualty holby city " title	it is set in the same hospital as " casualty " , holby general , in the fictional city of holby , and features occasional crossovers of characters and plots with both " casualty " ( in episodes broadcast as " casualty holby city " ) and the show 's 2007 police procedural spin off " holbyblue "	it is set in the same hospital as " casualty " , in the fictional city of holby , and featured occasional crossovers of characters and plots with both " casualty " ( which featured dedicated episodes broadcast as " casualty holby city " ) and the show 's 2007 police procedural spin off " holbyblue "
1002	holby city ( styled as holby ciy ) is a british medical drama television series that airs weekly on bbc one	casualty , stylised as casualy , is a british medical drama series that airs weekly on bbc one ( sometimes with a short break in the summer between series , but not always )	it is the longest running emergency medical drama television series in the world , and the most enduring medical drama shown on prime time television in the world	created by jeremy brock and paul unwin , it was first broadcast in the united kingdom on bbc one on 6 september 1986	" casualty " is a british medical drama television series that premiered on 6 september 1986 on bbc one	it was launched as " telef s ireann " on 31 december 1961 , it was renamed " rt " in 1966 , and it was renamed as rt 1 upon the launch of rt 2 in 1978	a typical medical drama might have a storyline in which two doctors fall in love	the series was created by tony mchale and mal young as a spin off from the established bbc medical drama " casualty " , and premiered on 12 january 1999	it has received several reader s digest 's trusted brand awards	grey 's anatomy is an american medical drama television series that premiered on march 27 , 2005 , on american broadcasting company ( abc ) as a mid season replacement
1003	some also include those who have a decreased ability to see because they do not have access to glasses or contact lenses	they can sometimes also function as a visual aid , as variously termed spectacles or glasses exist , featuring lenses that are colored , polarized or darkened	visual impairment , also known as vision impairment or vision loss , is a decreased ability to see to a degree that causes problems not fixable by usual means , such as glasses	visual impairment is often defined as a best corrected visual acuity of worse than either 20 40 or 20 60	visual impairment may cause people difficulties with normal daily activities such as driving , reading , socializing , and walking	safety glasses provide eye protection against flying debris for construction workers or lab technicians these glasses may have protection for the sides of the eyes as well as in the lenses	people who have disabilities often have difficulty performing activities of daily living ( adls ) independently , or even with assistance	in the early 20th century , they were also known as sun cheaters ( cheaters being an american slang term for glasses )	there are winter and summer paralympic games , which since the 1988 summer games in seoul , south korea , are held almost immediately following the respective olympic games	glasses , also known as eyeglasses or spectacles , are devices consisting of glass or hard plastic lenses mounted in a frame that holds them in front of a person 's eyes , typically using a bridge over the nose and arms which rest over the ears
1004	the american optometric association recommends sunglasses whenever a person is in the sun to protect the eyes from ultraviolet radiation ( uv ) and blue light , which can cause several serious eye problems	sunglasses or sun glasses are a form of protective eyewear designed primarily to prevent bright sunlight and high energy visible light from damaging or discomforting the eyes	some types of safety glasses are used to protect against visible and near visible light or radiation	in the early 20th century , they were also known as sun cheaters ( cheaters being an american slang term for glasses )	some also include those who have a decreased ability to see because they do not have access to glasses or contact lenses	safety glasses provide eye protection against flying debris for construction workers or lab technicians these glasses may have protection for the sides of the eyes as well as in the lenses	these techniques include diffraction optics , holographic optics , polarized optics , and reflective optics : head mounted displays are not designed to be workstations , and traditional input devices such as keyboards do not support the concept of smart glasses	glasses , also known as eyeglasses or spectacles , are devices consisting of glass or hard plastic lenses mounted in a frame that holds them in front of a person 's eyes , typically using a bridge over the nose and arms which rest over the ears	smart sunglasses which are programmed to change tint by electronic means are an example of the latter type of smartglasses	like the tardis , it has become one of the icons of the programme , and spin off media such as " the sarah jane adventures " and " torchwood " have replicated its functions in devices such as the sonic lipstick , sonic blaster , sonic probe , and sonic modulator
1005	smartglasses or smart glasses are wearable computer glasses that add information alongside or to what the wearer sees	alternatively smartglasses are sometimes defined as wearable computer glasses that are able to change their optical properties at runtime	most of the skits below appeared only on " late night " , while some have carried over to the " tonight show "	outwood windmill is a grade i listed post mill in outwood , surrey	oddworld inhabitants took a break from game development for a time following the release of " stranger 's wrath " , even though it had already begun preliminary work on its next oddworld title , " the brutal ballad of fangus klot "	built in 1665 by thomas budgen , a miller from nutfield in surrey , it is britain 's oldest working windmill	these techniques include diffraction optics , holographic optics , polarized optics , and reflective optics : head mounted displays are not designed to be workstations , and traditional input devices such as keyboards do not support the concept of smart glasses	superimposing information onto a field of view is achieved through an optical head mounted display ( ohmd ) or embedded wireless glasses with transparent heads up display ( hud ) or augmented reality ( ar ) overlay that has the capability of reflecting projected digital images as well as allowing the user to see through it , or see better with it	it was first broadcast on the seven network on 17 january 1988	smart sunglasses which are programmed to change tint by electronic means are an example of the latter type of smartglasses
1006	most of the main characters were members of the mall rats at one point or another	best buy operates under the best buy , best buy mobile , geek squad , magnolia audio video , insignia and pacific sales brands in the united states the best buy , geek squad and best buy mobile brands in canada best buy mobile and five star in china and best buy , best buy express , and geek squad in mexico	the song was recorded october 14 , 1965 along with the songs , " same as mine " , " i 'll never get over loving you " , and " holdin ' on "	the album was the band 's first studio album since " " the spaghetti incident ? " " in november 1993 , and their first album of original studio material since the simultaneous releases of " use your illusion i " and " ii " in september 1991	best buy was due to open its first stores in the united kingdom in 2009 , but in march 2009 , the firm postponed this until 2010 , with plans for up to two hundred stores eventually	even though many of the new best buy locations were in close proximity to existing future shop stores , the two chains were differentiated primarily by their in store experiences	although best buy began to establish canadian locations under its own name following the purchase , it continued to operate the future shop stores as a separate chain	best buy branded superstores opened in the united kingdom beginning in april 30 , 2010 , with a store in thurrock , essex	in 2002 , they merged with best buy , retaining stephens as the primary corporate leadership for the subsidiary	in november 2001 , future shop was acquired by the similar american chain best buy for c 580 million
1008	the family was conceived by macfarlane after developing two animated films , " the life of larry " and " larry steve "	macfarlane redesigned the films ' protagonist , larry , and his dog , steve , and renamed them peter and brian , respectively	it features an ensemble cast of regular characters , and began with 10 main characters in its first series , all but two charlie fairhead ( played by derek thompson ) and lisa " duffy " duffin ( played by cathy shipton ) have since left the show	it was launched through the densely forested ardennes region of wallonia in eastern belgium , northeast france , and luxembourg , towards the end of world war ii	it is set in the fictional holby city hospital , in the equally fictitious city of holby , and features occasional crossovers of characters and plots with spin off show " holby city "	within eight months of the show 's launch , it reached the number one spot in barb 's tv ratings and has consistently remained among the top rated tv programmes in britain	included on the list are charts of the top box office earners , a chart of high grossing animated films by calendar year , a timeline showing the transition of the highest grossing animated film record , and a chart of the highest grossing animated film franchises and series	animated family films have performed consistently well at the box office , with disney films enjoying lucrative re releases prior to the home video era	played by : david walliams episodes : radio show season 1 , episodes 4 and 5 catchphrase : " i love you anne " and " i need you anne " peter andre is a royal bbc correspondent who gets sacked after first making surreal and false claims about the royal family ( such as prince charles having magical powers , describing the queen as " the main one " and mistaking princess eugenie for her mother , sarah , duchess of york ) and then expressing his love for princess anne through song	according to the creator of " the simpsons " , matt groening , the show adopted the concept of a large supporting cast from the canadian sketch comedy show " second city television "
1009	the show 's dark humor and sexual themes has led to backlash from organizations such as the parents ' television council	the show 's dark humor and sexual themes has led to backlash from organizations such as the parents ' television council	the parents television council is a conservative non profit watchdog group that has not only expressed moral opposition to the series , but also has filed complaints with the federal communications commission	the parents television council is a conservative non profit watchdog group that has not only expressed moral opposition to the series , but also has filed complaints with the federal communications commission	since the premiere of family guy the parents television council has been an outspoken critic of the series	since the premiere of family guy the parents television council has been an outspoken critic of the series	bozell served as president of the parents television council from 1995 to 2006	the show is set in the fictional city of quahog , rhode island , and exhibits much of its humor in the form of metafictional cutaway gags that often lampoon american culture	the parents television council ( ptc ) is a united states based censorship advocacy group founded by conservative catholic activist l	brian griffin is a fictional character from the american animated television series " family guy "
1010	the show is known , especially in later seasons to include offensive jokes ( many of which involve racial humor ) and violent , gory , and disturbing images	in response , yusuf islam said that some of his comments were " stupid and offensive jokes " made in " bad taste , " while others were merely giving his interpretation of islamic law but not advocating any action	near the end of clinton 's second term , gore was selected as the democratic nominee for the 2000 presidential election but did not win the election	over 6 feet tall and built like a former athlete , bert is an unscrupulous boss who is inclined to sign the animators up for almost any job if the price is right	she was originally draper 's secretary , but showed surprising talent and initiative , including a knack similar to draper 's for understanding the consumer 's mind	" is an american television series created for abc by joss whedon , jed whedon , and maurissa tancharoen , based on the marvel comics organization s	the parents television council is a conservative non profit watchdog group that has not only expressed moral opposition to the series , but also has filed complaints with the federal communications commission	though she starts to show romantic feelings for clarke griffin ( leader of the sky people ) and takes clarke 's views into consideration , lexa puts her people first , even at the expense of losing clarke 's trust	most parts of human life have an aesthetic dimension , which means there is plenty potential for criticism	bert is the founder and managing partner of animators , inc
1011	it is set in the marvel cinematic universe ( mcu ) , sharing continuity with the feature and short films of the franchise	although the original concept ( depicted in the unaired pilot episode ) centered on the robinson family , many later storylines focused primarily on dr	it is programmed by williams street productions , a subsidiary of turner , which also developed two other programming blocks for cartoon network : toonami ( which later became a block on adult swim in 2012 ) and miguzi	len wein was the writer for the first 13 issues before david michelinie and gerry conway finished up the series	adult swim ( stylized as adult swim ) is the adult oriented nighttime programming block of the american children 's cable network cartoon network , operating daily 8 p	it tells the story of an group of american researchers in antarctica who encounter the eponymous " thing " , a parasitic extraterrestrial life form that assimilates other organisms and in turn imitates them	the contract of sale , as it is known in south africa today , derives its origins from the roman consensual contract of " emptio venditio "	" is an american television series created for abc by joss whedon , jed whedon , and maurissa tancharoen , based on the marvel comics organization s	the first season was filmed in black and white , with the second and third seasons filmed in color	ryan and seth spend much time navigating their relationships with girl next door marissa cooper , seth 's childhood crush summer roberts , and the fast talking loner taylor townsend
1012	as a forward , she currently stands as the highest all time goal scorer for the national team and holds the world record for international goals for both female and male soccer players with 184 goals	mariel margaret hamm garciaparra ( born march 17 , 1972 ) is a retired professional soccer player , two time olympic gold medalist , and two time fifa women 's world cup champion	she played college soccer for the north carolina tar heels women 's soccer team and helped the team win four consecutive ncaa division i women 's soccer championship titles	morgan , who was 22 at the time , was the youngest player on the national team at the 2011 fifa women 's world cup where the team won silver	has been growing since the 1960s and 1970s , and received a significant boost when the united states hosted the 1994 fifa world cup and 1999 fifa women 's world cup	soccer athlete of the year award , wambach was a regular on the u	however , some variations of soccer in the united states began well before than , with native american tribes , primarily the algonkin and powhatan tribes playing a variation of the sport known as " pasuckuakohowog "	alexandra patricia morgan carrasco ( born july 2 , 1989 ) is an american soccer player , olympic gold medalist , and fifa women 's world cup champion	mary abigail wambach ( born june 2 , 1980 ) is an american retired soccer player , coach , two time olympic gold medalist and fifa women 's world cup champion	4 million people play soccer in the united states
1013	nine of ten members of the south american football confederation ( conmebol ) have competed in the men 's fifa world cup finals	greece had to wait until 1994 to experience their first fifa world cup participation , but after an undefeated qualifying run they produced a poor performance in the final tournament , losing all three group matches without scoring	the greece national football team ( , ) represents greece in association football and is controlled by the hellenic football federation , the governing body for football in greece	this has raised questions about the impartiality of the networks ' coverage of games and whether they can criticize the nfl without fear of losing the rights and their income	france has also won two uefa european football championships , first in 1984 , led by ballon d'or winner michel platini , and then in 2000 , led by fifa world player of the year zinedine zidane	since its establishment , the argentina national team has appeared in five fifa world cup finals , including the first final in 1930 , 1978 ( when the team won its first world cup ) beating the netherlands ) , the 1986 ( winning its second world cup after defeating west germany ) , 1990 and 2014	it is fielded by the french football federation and competes as a member of uefa	since its inception in 1965 , this event has brought together champions from all over world so that players from small countries with few bowling facilities can meet the greats of the sport , all on equal terms and all in a spirit of friendly competition	football hooliganism is the term used to describe disorderly , violent or destructive behaviour perpetrated by spectators at football events	the qubicaamf bowling world cup is an amateur singles event within the sport of ten pin bowling , sanctioned by world bowling and sponsored by qubicaamf worldwide
1014	the current champion is germany , which won its fourth title at the 2014 tournament in brazil	in 1999 , he came fourth in the fifa player of the century internet poll , and was chosen on the fifa world cup dream team in 2002	the 2017 fifa u 17 world cup was the 17th fifa u 17 world cup , a biennial international football tournament contested by men 's under 17 national teams	france was one of the four european teams that participated at the inaugural world cup in 1930 and was one of eight national teams to have won the competition , which they did in 1998 when they hosted the cup	the fifa world cup , often simply called the world cup , is an international association football competition contested by the senior men 's national teams of the members of " " ( fifa ) , the sport 's global governing body	the attendance for this world cup was a record 1,347 , 133 surpassing china 's 1985 edition where it was 1,230 , 976	nine of ten members of the south american football confederation ( conmebol ) have competed in the men 's fifa world cup finals	there was discussion and some confusion over whether australia needed to be directly affiliated with fifa to compete	the matches were played in six stadiums in six host cities around the country , with the final taking place at the salt lake stadium in kolkata , west bengal	el salvador has made two fifa world cup appearances : first in 1970 and again in 1982 , but have never progressed beyond the first stage of a finals tournament
